rem;packet-in-0x028 action category names
0;None
1;Melee Attack
2;Ranged Attack Finish
3;Weapon Skill Finish
4;Magic Finish
5;Item Finish
6;Job Ability Finish
7;Weapon Skill Start
8;Magic Start
9;Item Start
10;Job Ability Start
11;NPC Ability Finish
12;Ranged Attack Start
13;Pet Mob Ability Finish
14;Job Ability DNC
15;Job Ability RUN
rem;DSP stuff (not actually used as max value would be 15 with just 4 bits)
29;ACTION_ITEM_INTERRUPT
31;ACTION_MAGIC_INTERRUPT
32;ACTION_RANGED_INTERRUPT
33;ACTION_MOBABILITY_START
35;ACTION_MOBABILITY_INTERRUPT
37;ACTION_RAISE_MENU_SELECTION
