0x008;Zones Visited;List of visited zones?
0x009;Standard Message;A standardized message send from FFXI.
0x00A;Zone In;Info about character and zone around it.
0x00B;Zone Out;Packet contains IP and port of next zone to connect to.
0x00D;PC Update;Packet contains info about another PC (i.e. coordinates).
0x00E;NPC Update;Packet contains data about nearby targets (i.e. target\'s position, name).
0x017;Incoming Chat;Packet contains data about incoming chat messages.
0x01B;Job Info;Job Levels and levels unlocked.
0x01C;Inventory Count;Describes number of slots in inventory.
0x01D;Finish Inventory;Finish listing the items in inventory.
0x01E;Modify Inventory;Modifies items in your inventory.
0x01F;Item Assign;Assigns an ID to equipped items in your inventory.
0x020;Item Update;Info about item in your inventory.
0x021;Trade Requested;Sent when somebody offers to trade with you.
0x022;Trade Action;Sent whenever something happens with the trade window.
0x023;Trade Item;Sent when an item appears in the trade window.
0x025;Item Accepted;Sent when the server will allow you to trade an item.
0x026;Count to 80;It counts to 80 and does not have any obvious function. May have something to do with populating inventory.
0x027;String Message;Message that includes a string as a parameter.
0x028;Action by NPC;Packet sent when an NPC is attacking.
0x029;Action Message;Packet sent for simple battle-related messages.
0x02A;Resting Message;Packet sent when you rest in Abyssea.
0x02D;Kill Message;Packet sent when you gain XP/LP/CP/JP/MP, advance RoE objectives, etc. by defeating a mob.
0x02E;Mog House Menu;Sent when talking to moogle inside mog house.
0x02F;Digging Animation;Generates the chocobo digging animation
0x030;Synth Animation;Generates the synthesis animation
0x031;Synth List;List of recipes or materials needed for a recipe
0x032;NPC Interaction 1;Occurs before menus and some cutscenes
0x033;String NPC Interaction;Triggers a menu or cutscene to appear. Contains 4 strings.
0x034;NPC Interaction 2;Occurs before menus and some cutscenes
0x036;NPC Chat;Dialog from NPC\'s.
0x037;Update Char;Updates a characters stats and animation.
0x038;Entity Animation;Sent when a model should play a specific animation.
0x039;Env. Animation;Sent to force animations to specific objects.
0x03A;Independ. Animation;Used for arbitrary battle animations that are unaccompanied by an action packet.
0x03C;Shop;Displays items in a vendors shop.
0x03D;Price Response;Returns the value of an item.
0x03E;Open Buy/Sell;Opens the buy/sell menu for vendors.
0x03F;Shop Buy Response;Sent when you buy something from normal vendors.
0x041;Blacklist;Contains player ID and name for blacklist.
0x042;Blacklist Command;Sent in response to /blacklist add or /blacklist delete.
0x044;Job Info Extra;Contains information about Automaton stats and set Blue Magic spells.
0x047;Translate Response;Response to a translate request.
0x048;Linkshell Concierge List;Looks related to linkshell concierge list, but doesn't seem to contain data
rem;0x04B;Logout Acknowledge;Acknowledges a logout attempt.
0x04B;Delivery Item;Item in delivery box.
0x04C;Auction House Menu;Sent when visiting auction counter.
0x04D;Server Response;Server response when someone requests it.
0x04F;Data Download 2;The data that is sent to the client when it is "Downloading data...".
0x050;Equip;Updates the characters equipment slots.
0x051;Model Change;Info about equipment and appearance.
0x052;NPC Release;Allows your PC to move after interacting with an NPC.
0x053;Logout Time;The annoying message that tells how much time till you logout.
0x055;Key Item Log;Updates your key item log on zone and when appropriate.
0x056;Quest/Mission Log;Updates your quest and mission log on zone and when appropriate.
0x057;Weather Change;Updates the weather effect when the weather changes.
0x058;Lock Target;Locks your target.
0x05A;Server Emote;This packet is the server\'s response to a client /emote p.
0x05B;Spawn;Server packet sent when a new mob spawns in area.
0x05C;Dialogue Information;Used when all the information required for a menu cannot be fit in an NPC Interaction packet.
0x05E;Campaign/Besieged Map;Contains information about Campaign and Besieged status.
0x05F;Music Change;Changes the current music.
0x061;Char Stats;Packet contains a lot of data about your character\'s stats.
0x062;Skills Update;Packet that shows your weapon and magic skill stats.
0x063;Set Update;Frequently sent packet during battle that updates specific types of job information, like currently available/set automaton equipment and currently set BLU spells.
0x065;Repositioning;Moves your character. Seems to be functionally idential to the Spawn packet
0x067;Entity Status;Contains various information about the entity. May trigger some animations.
0x068;Pet Status;Updates information about whether or not you have a pet and the TP, HP, etc. of the pet if appropriate.
