abilityid;name
0;mighty strikes
1;hundred fists
2;benediction
3;manafont
4;chainspell
5;perfect dodge
6;invincible
7;blood weapon
8;familiar
9;soul voice
10;eagle eye shot
11;meikyo shisui
12;mijin gakure
13;spirit surge
14;astral flow
15;berserk
16;warcry
17;defender
18;aggressor
19;provoke
20;focus
21;dodge
22;chakra
23;boost
24;counterstance
25;steal
26;flee
27;hide
28;sneak attack
29;mug
30;shield bash
31;holy circle
32;sentinel
33;souleater
34;arcane circle
35;last resort
36;charm
37;gauge
38;tame
39;pet commands
40;scavenge
41;shadowbind
42;camouflage
43;sharpshot
44;barrage
45;call wyvern
46;third eye
47;meditate
48;warding circle
49;ancient circle
50;jump
51;high jump
52;super jump
53;fight
54;heel
55;leave
56;sic
57;stay
58;divine seal
59;elemental seal
60;trick attack
61;weapon bash
62;reward
63;cover
64;spirit link
66;chi blast
67;convert
68;accomplice
69;call beast
70;unlimited shot
71;dismiss
72;assault
73;retreat
74;release
75;blood pact rage
76;rampart
77;azure lore
78;chain affinity
79;burst affinity
80;wild card
81;phantom roll
82;fighters roll
83;monks roll
84;healers roll
85;wizards roll
86;warlocks roll
87;rogues roll
88;gallants roll
89;chaos roll
90;beast roll
91;choral roll
92;hunters roll
93;samurai roll
94;ninja roll
95;drachen roll
96;evokers roll
97;maguss roll
98;corsairs roll
99;puppet roll
100;dancers roll
101;scholars roll
102;bolters roll
103;casters roll
104;coursers roll
105;blitzers roll
106;tacticians roll
107;double-up
108;quick draw
109;fire shot
110;ice shot
111;wind shot
112;earth shot
113;thunder shot
114;water shot
115;light shot
116;dark shot
117;random deal
119;overdrive
120;activate
121;repair
122;deploy
123;deactivate
124;retrieve
125;fire maneuver
126;ice maneuver
127;wind maneuver
128;earth maneuver
129;thunder maneuver
130;water maneuver
131;light maneuver
132;dark maneuver
133;warriors charge
134;tomahawk
135;mantra
136;formless strikes
137;martyr
138;devotion
139;assassins charge
140;feint
141;fealty
142;chivalry
143;dark seal
144;diabolic eye
145;feral howl
146;killer instinct
147;nightingale
148;troubadour
149;stealth shot
150;flashy shot
151;shikikoyo
152;blade bash
153;deep breathing
154;angon
155;sange
156;blood pact ward
157;hasso
158;seigan
159;convergence
160;diffusion
161;snake eye
162;fold
163;role reversal
164;ventriloquy
165;trance
166;sambas
167;waltzes
168;drain samba
169;drain samba ii
170;drain samba iii
171;aspir samba
172;aspir samba ii
