name;bufficon
0;KO
1;WEAKNESS
2;SLEEP_I
3;POISON
4;PARALYSIS
5;BLINDNESS
6;SILENCE
7;PETRIFICATION
8;DISEASE
9;CURSE_I
10;STUN
11;BIND
12;WEIGHT
13;SLOW
14;CHARM_I
15;DOOM
16;AMNESIA
17;CHARM_II
18;GRADUAL_PETRIFICATION
19;SLEEP_II
20;CURSE_II
21;ADDLE
22;INTIMIDATE
23;KAUSTRA
28;TERROR
29;MUTE
30;BANE
31;PLAGUE
32;FLEE
33;HASTE
34;BLAZE_SPIKES
35;ICE_SPIKES
36;BLINK
37;STONESKIN
38;SHOCK_SPIKES
39;AQUAVEIL
40;PROTECT
41;SHELL
42;REGEN
43;REFRESH
44;MIGHTY_STRIKES
45;BOOST
46;HUNDRED_FISTS
47;MANAFONT
48;CHAINSPELL
49;PERFECT_DODGE
50;INVINCIBLE
51;BLOOD_WEAPON
52;SOUL_VOICE
53;EAGLE_EYE_SHOT
54;MEIKYO_SHISUI
55;ASTRAL_FLOW
56;BERSERK
57;DEFENDER
58;AGGRESSOR
59;FOCUS
60;DODGE
61;COUNTERSTANCE
62;SENTINEL
63;SOULEATER
64;LAST_RESORT
65;SNEAK_ATTACK
66;COPY_IMAGE
67;THIRD_EYE
68;WARCRY
69;INVISIBLE
70;DEODORIZE
71;SNEAK
72;SHARPSHOT
73;BARRAGE
74;HOLY_CIRCLE
75;ARCANE_CIRCLE
76;HIDE
77;CAMOUFLAGE
78;DIVINE_SEAL
79;ELEMENTAL_SEAL
80;STR_BOOST
81;DEX_BOOST
82;VIT_BOOST
83;AGI_BOOST
84;INT_BOOST
85;MND_BOOST
86;CHR_BOOST
87;TRICK_ATTACK
88;MAX_HP_BOOST
89;MAX_MP_BOOST
90;ACCURACY_BOOST
91;ATTACK_BOOST
92;EVASION_BOOST
93;DEFENSE_BOOST
94;ENFIRE
95;ENBLIZZARD
96;ENAERO
97;ENSTONE
98;ENTHUNDER
99;ENWATER
100;BARFIRE
101;BARBLIZZARD
102;BARAERO
103;BARSTONE
104;BARTHUNDER
105;BARWATER
106;BARSLEEP
107;BARPOISON
108;BARPARALYZE
109;BARBLIND
110;BARSILENCE
111;BARPETRIFY
112;BARVIRUS
113;RERAISE
114;COVER
115;UNLIMITED_SHOT
116;PHALANX
117;WARDING_CIRCLE
118;ANCIENT_CIRCLE
119;STR_BOOST_II
120;DEX_BOOST_II
121;VIT_BOOST_II
122;AGI_BOOST_II
123;INT_BOOST_II
124;MND_BOOST_II
125;CHR_BOOST_II
126;SPIRIT_SURGE
127;COSTUME
128;BURN
129;FROST
130;CHOKE
131;RASP
132;SHOCK
133;DROWN
134;DIA
135;BIO
136;STR_DOWN
137;DEX_DOWN
138;VIT_DOWN
139;AGI_DOWN
140;INT_DOWN
141;MND_DOWN
142;CHR_DOWN
143;LEVEL_RESTRICTION
144;MAX_HP_DOWN
145;MAX_MP_DOWN
146;ACCURACY_DOWN
147;ATTACK_DOWN
148;EVASION_DOWN
149;DEFENSE_DOWN
150;PHYSICAL_SHIELD
151;ARROW_SHIELD
152;MAGIC_SHIELD
153;DAMAGE_SPIKES
154;SHINING_RUBY
155;MEDICINE
156;FLASH
157;SJ_RESTRICTION
158;PROVOKE
159;PENALTY
160;PREPARATIONS
161;SPRINT
162;ENCHANTMENT
163;AZURE_LORE
164;CHAIN_AFFINITY
165;BURST_AFFINITY
166;OVERDRIVE
167;MAGIC_DEF_DOWN
168;INHIBIT_TP
169;POTENCY
170;REGAIN
171;PAX
172;INTENSION
173;DREAD_SPIKES
174;MAGIC_ACC_DOWN
175;MAGIC_ATK_DOWN
176;QUICKENING
177;ENCUMBRANCE_II
178;FIRESTORM
179;HAILSTORM
180;WINDSTORM
181;SANDSTORM
182;THUNDERSTORM
183;RAINSTORM
184;AURORASTORM
185;VOIDSTORM
186;HELIX
187;SUBLIMATION_ACTIVATED
188;SUBLIMATION_COMPLETE
189;MAX_TP_DOWN
190;MAGIC_ATK_BOOST
191;MAGIC_DEF_BOOST
192;REQUIEM
193;LULLABY
194;ELEGY
195;PAEON
196;BALLAD
197;MINNE
198;MINUET
199;MADRIGAL
200;PRELUDE
201;MAMBO
202;AUBADE
203;PASTORAL
204;HUM
205;FANTASIA
206;OPERETTA
207;CAPRICCIO
208;SERENADE
209;ROUND
210;GAVOTTE
211;FUGUE
212;RHAPSODY
213;ARIA
214;MARCH
215;ETUDE
216;CAROL
217;THRENODY
218;HYMNUS
219;MAZURKA
220;SIRVENTE
221;DIRGE
222;SCHERZO
223;NOCTURNE
227;STORE_TP
228;EMBRAVA
229;MANAWELL
230;SPONTANEITY
231;MARCATO
232;NA
233;AUTO_REGEN
234;AUTO_REFRESH
235;FISHING_IMAGERY
236;WOODWORKING_IMAGERY
237;SMITHING_IMAGERY
238;GOLDSMITHING_IMAGERY
239;CLOTHCRAFT_IMAGERY
240;LEATHERCRAFT_IMAGERY
241;BONECRAFT_IMAGERY
242;ALCHEMY_IMAGERY
243;COOKING_IMAGERY
244;IMAGERY_1
245;IMAGERY_2
246;IMAGERY_3
247;IMAGERY_4
248;IMAGERY_5
249;DEDICATION
250;EF_BADGE
251;FOOD
252;MOUNTED
253;SIGNET
254;BATTLEFIELD
255;NONE
256;SANCTION
257;BESIEGED
258;ILLUSION
