rem;This files is used to add tags for autocomplete that aren't in the other lookup files yet
rem;Just add extra entries for more tags
0;Item
1;Linkshell
2;Server
3;Client
4;BCNM
5;WSNM
6;Mission
7;Quest
8;Classic
9;Rise of the Zilart
10;Chains of Promathia
11;Treasures of Aht Urhgan
12;Wings of the Goddess
13;Seekers of Adoulin
14;Rhapsodies of Vana'diel
15;A Crystalline Prophecy
16;A Moogle Kupo d'Etat
17;A Shantotto Ascension
18;Abyssea
19;Vision of Abyssea
20;Scars of Abyssea
21;Heroes of Abyssea
22;Assault
23;Voidwatch
24;Campaign
25;Wildskeeper Reive
26;Reive
27;Party
28;Alliance
29;Nation
